timestamp	experiment_id	avg_score	benchmark_scores	status	description
2026-04-07T00:00:00	baseline	3.87	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.11,03-verification-skipping:3.80,04-investigator-pivot:2.20,05-planner-web-research:2.28,06-builder-handoff-quality:2.75,07-reviewer-thoroughness:4.20,08-scout-exploration:4.44,09-web-searcher-best-practices:3.80,10-tester-plan-verification:3.08,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.40,plan-new-feature:4.06,review-flawed-plan:4.73	baseline	Initial baseline — no changes
2026-04-07T00:01:00	20260407-000001	4.18	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.11,03-verification-skipping:3.80,04-investigator-pivot:2.35,05-planner-web-research:2.28,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:3.80,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.21,review-flawed-plan:4.73	keep	Add Downstream Expectations section to context.md — tells each agent what downstream agents check
2026-04-06T18:36:32	20260406-183632	4.28	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.11,03-verification-skipping:3.80,04-investigator-pivot:2.35,05-planner-web-research:3.89,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:3.80,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.21,review-flawed-plan:4.73	keep	Add Knowledge & Research Awareness section to context.md — instructs agents to assess knowledge currency and flag gaps for web-searcher consultation
2026-04-06T18:42:33	20260406-184233	4.42	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.11,03-verification-skipping:3.80,04-investigator-pivot:4.80,05-planner-web-research:3.89,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:3.80,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.21,review-flawed-plan:4.73	keep	Add Adaptive Failure Recovery section to context.md — explicit pivot triggers after 3 consecutive same-category failures, source code as universal fallback
2026-04-07T01:50:50	20260406-184813	4.49	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.11,03-verification-skipping:5.00,04-investigator-pivot:4.80,05-planner-web-research:3.89,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:3.80,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.21,review-flawed-plan:4.73	keep	Add Verification Decision Framework to dispatcher.md — explicit risk tiers (Trivial/Standard/High-Risk/Ambiguous) with verification requirements, mandatory red-team for security work, skip justification requirement
2026-04-07T02:01:18	20260407-190004	4.55	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.11,03-verification-skipping:5.00,04-investigator-pivot:4.80,05-planner-web-research:3.89,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:4.70,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.21,review-flawed-plan:4.73	keep	Enhance web-searcher.md report format with adaptive structure — Technical Evaluations template (comparison table, recommendation, dedicated security section), Quick Lookups, and General Research formats
2026-04-07T03:03:48	20260406-190348	4.59	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.11,03-verification-skipping:5.00,04-investigator-pivot:4.80,05-planner-web-research:4.56,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:4.70,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.29,review-flawed-plan:4.73	keep	Add Phase 3b (Assess Knowledge Gaps) to planner.md — explicit research-assessment step between codebase exploration and solution design
2026-04-07T02:13:40	20260406-190944	4.64	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.89,03-verification-skipping:5.00,04-investigator-pivot:4.80,05-planner-web-research:4.56,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:4.70,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.29,review-flawed-plan:4.73	keep	Add Ambiguous Request Routing patterns to dispatcher.md — explicit performance/vague-symptom/feature routing with investigate-before-clarifying and adaptive branching
2026-04-07T02:25:55	20260406-191853	4.66	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.89,03-verification-skipping:5.00,04-investigator-pivot:4.80,05-planner-web-research:4.56,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:4.70,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.33,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.62,review-flawed-plan:4.73	keep	Add security implications checkpoint to planner.md Phase 4 — explicit assessment of auth requirements (including non-HTTP channels), authorization boundaries, input validation, and data exposure for new endpoints/connections/surfaces
2026-04-07T02:29:01	20260406-192901	4.69	01-dispatch-routing-basic:4.80,02-dispatch-routing-ambiguous:4.89,03-verification-skipping:5.00,04-investigator-pivot:4.80,05-planner-web-research:4.56,06-builder-handoff-quality:4.60,07-reviewer-thoroughness:4.50,08-scout-exploration:4.67,09-web-searcher-best-practices:4.70,10-tester-plan-verification:4.56,11-red-team-security-review:4.44,dispatch-bug-report:4.89,dispatch-feature-request:4.89,dispatch-quick-question:4.50,investigator-diagnosis:4.55,plan-new-feature:4.62,review-flawed-plan:4.73	keep	Add pre-planning research triggers to dispatcher.md Implementation Pipeline — explicit criteria for when to dispatch web-searcher before planner (unfamiliar tech, evolving best practices, new third-party integrations)
