timestamp	experiment_id	avg_score	benchmark_scores	status	description
2026-04-08T16:17:00	baseline	3.90	incident-triage-p1:4.55,incident-triage-p3:3.66,tension-resolution:4.00,remediation-safety:3.30,multi-alert-triage:4.64,maintenance-planning:2.95,scout-discovery:4.25,security-audit:4.36,runbook-quality:2.95,cross-platform-diagnosis:3.84,baseline-documentation:4.40	baseline	Initial baseline measurement
2026-04-08T16:20:03	20260408-162003	4.05	incident-triage-p1:4.55,incident-triage-p3:3.66,tension-resolution:4.00,remediation-safety:5.00,multi-alert-triage:4.64,maintenance-planning:2.95,scout-discovery:4.25,security-audit:4.36,runbook-quality:2.95,cross-platform-diagnosis:3.84,baseline-documentation:4.40	keep	Added Pre-Action Safety Gate to responder.md — intervention restraint criteria for degradation vs outage, risk check framework, communication-over-action guidance
2026-04-08T16:25:00	20260408-162414	4.15	incident-triage-p1:4.55,incident-triage-p3:3.66,tension-resolution:4.00,remediation-safety:5.00,multi-alert-triage:4.64,maintenance-planning:2.95,scout-discovery:4.25,security-audit:4.36,runbook-quality:4.00,cross-platform-diagnosis:3.84,baseline-documentation:4.40	keep	Enhanced documenter runbook template with command+expected output format, decision branches, per-step rollback, and Runbook Writing Rules section
2026-04-08T16:32:00	20260408-162812	4.32	incident-triage-p1:4.55,incident-triage-p3:3.66,tension-resolution:4.00,remediation-safety:5.00,multi-alert-triage:4.64,maintenance-planning:4.82,scout-discovery:4.25,security-audit:4.36,runbook-quality:4.00,cross-platform-diagnosis:3.84,baseline-documentation:4.40	keep	Added Maintenance Window Planning Framework to operator.md — 7-step structured template with dependency mapping, risk ranking, per-item rollback, pre-flight checklist, go/no-go gates, and risk-aware sequencing
2026-04-08T16:34:00	20260408-163411	4.43	incident-triage-p1:4.55,incident-triage-p3:4.73,tension-resolution:4.00,remediation-safety:5.00,multi-alert-triage:4.73,maintenance-planning:4.82,scout-discovery:4.25,security-audit:4.36,runbook-quality:4.00,cross-platform-diagnosis:3.84,baseline-documentation:4.40	keep	Added Preventive Task Dispatch (P3/P4) framework to dispatcher.md — urgency assessment (hard deadline, degradation trajectory, automation failure), structured task construction (5 required elements), example task template, and time-boxing guidance for non-outage items
2026-04-08T16:39:00	20260408-163859	4.50	incident-triage-p1:4.55,incident-triage-p3:4.73,tension-resolution:4.00,remediation-safety:5.00,multi-alert-triage:4.73,maintenance-planning:4.82,scout-discovery:4.25,security-audit:4.36,runbook-quality:4.00,cross-platform-diagnosis:4.64,baseline-documentation:4.40	keep	Added Authentication Failure Remediation Procedures section to analyst.md + analyst expertise — machine account trust breakage remediation (re-join, verify, purge tickets per platform, rollback), cross-platform remediation checklist enforcing both Windows and Linux steps and escalating impact warnings
2026-04-08T16:42:00	20260408-164219	4.59	incident-triage-p1:4.55,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.73,maintenance-planning:4.82,scout-discovery:4.25,security-audit:4.36,runbook-quality:4.00,cross-platform-diagnosis:4.64,baseline-documentation:4.40	keep	Added Tension Mediation Protocol to dispatcher.md — 5-step structured mediation procedure (acknowledge both positions, ground in evidence, apply framework default, synthesize not pick, assign concrete next steps) with synthesis examples for all four tensions and anti-patterns
2026-04-08T23:47:30	20260408-164544	4.72	incident-triage-p1:4.55,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.73,maintenance-planning:4.82,scout-discovery:4.67,security-audit:4.36,runbook-quality:4.00,cross-platform-diagnosis:4.64,baseline-documentation:4.40	keep	Added Concern Severity Framework to scout.md — Critical/High/Medium/Low severity table with definitions, Security vs Operational concern split in output format, classification rules (patch currency flagging, dependency blast radius, justification for High/Critical), replaced flat Anomalies section with structured Security Concerns and Operational Concerns sections
2026-04-08T16:52:00	20260408-165011	4.76	incident-triage-p1:4.55,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.73,maintenance-planning:4.82,scout-discovery:4.67,security-audit:4.82,runbook-quality:4.00,cross-platform-diagnosis:4.64,baseline-documentation:4.40	keep	Added Post-Incident Detection Review (kill chain timeline analysis, gap quantification, trigger analysis, improvement recommendations) and Defense Credit Protocol (structured defense acknowledgment with kill chain context) to hardener.md and expertise file
2026-04-08T16:55:05	20260408-165505	4.71	incident-triage-p1:4.55,incident-triage-p3:4.73,tension-resolution:5.00,remediation-safety:5.00,multi-alert-triage:4.73,maintenance-planning:4.82,scout-discovery:4.67,security-audit:4.82,runbook-quality:4.41,cross-platform-diagnosis:4.64,baseline-documentation:4.40	keep	Added Decision Branch Framework to documenter.md — four divergence types (alternative root causes, step-level failures, environment variations, state divergence) with symptom-level examples and systematic branch identification guidance for runbook decision points
